Metric,Value,Query,Timestamp,Users_Evaluated
Precision@10,0.182,Recommend a song for working out or gym with fast melody,2026-05-19 16:06:29,50
HitRate@10,1.0,Recommend a song for working out or gym with fast melody,2026-05-19 16:06:29,50
AvgSemanticSimilarity,0.21484577150029896,Recommend a song for working out or gym with fast melody,2026-05-19 16:06:29,50
MAP@10,0.814063492063492,Recommend a song for working out or gym with fast melody,2026-05-19 16:06:29,50
MRR@10,0.9166666666666667,Recommend a song for working out or gym with fast melody,2026-05-19 16:06:29,50
NDCG@10,0.8775369658644689,Recommend a song for working out or gym with fast melody,2026-05-19 16:06:29,50
CategoryCoverage,2.064,Recommend a song for working out or gym with fast melody,2026-05-19 16:06:29,50
UniqueCategories,20.64,Recommend a song for working out or gym with fast melody,2026-05-19 16:06:29,50
Entropy,4.237784576114018,Recommend a song for working out or gym with fast melody,2026-05-19 16:06:29,50
GiniIndex,0.9401658329958603,Recommend a song for working out or gym with fast melody,2026-05-19 16:06:29,50
IntraListSimilarity,0.5153839228476582,Recommend a song for working out or gym with fast melody,2026-05-19 16:06:29,50
Novelty,0.8716930765008314,Recommend a song for working out or gym with fast melody,2026-05-19 16:06:29,50
Serendipity,0.4224170734501969,Recommend a song for working out or gym with fast melody,2026-05-19 16:06:29,50
